latitude,longitude,property_type,accommodates,bathrooms,bedrooms,beds,price
42.33285419,-71.10123472,Apartment,4,1,2,2,299.00
42.33529603,-71.10146237,Apartment,2,1,1,1,249.00
42.32790891,-71.10270495,Apartment,2,1,0,1,115.00
42.33376386,-71.10079694,Apartment,2,1,1,1,239.00
42.33155445,-71.09628787,Apartment,2,1.5,1,1,75.00
42.32777505,-71.09882994,Loft,2,1,1,1,30.00
42.33242981,-71.10128712,Apartment,1,1,1,1,45.00
42.33220057,-71.10172331,Condominium,5,1,1,5,160.00
42.32857987,-71.09805473,Apartment,2,2,1,1,62.00
42.33242122,-71.10732196,Apartment,1,1,1,1,872.00
42.33289333,-71.10862041,Apartment,1,2,1,1,55.00
42.33197338,-71.1081306,Apartment,4,2,1,2,79.00
42.33072487,-71.10446642,Apartment,1,1,1,1,60.00
42.33004818,-71.0985269,Apartment,2,2,1,1,79.00
42.32895905,-71.10728437,House,1,1,1,1,75.00
42.33215158,-71.10674178,Apartment,2,1,0,1,75.00
42.32977089,-71.10300215,House,1,1,1,1,30.00
42.33064668,-71.10584252,Apartment,2,1,1,1,105.00
42.33080096,-71.09900783,Apartment,1,1,1,1,27.00
42.328867,-71.10974475,House,1,1,1,1,85.00
42.33317899,-71.10249896,House,2,1,1,1,110.00
42.33258807,-71.10068446,Apartment,2,1,1,1,199.00
42.33230551,-71.10073195,Apartment,2,1,1,2,45.00
42.3346777,-71.10251314,Apartment,4,1,2,2,269.00
42.32915953,-71.10099811,Apartment,2,2,1,1,69.00
42.33435924,-71.10209201,Apartment,2,1,1,1,75.00
42.33175205,-71.10559903,House,2,1.5,1,1,45.00
42.333957,-71.10229828,House,1,1,1,1,70.00
42.32816472,-71.10569506,House,3,1,1,2,70.00
42.33497264,-71.09995701,Apartment,3,1,1,1,169.00
42.33228948,-71.11145872,Apartment,5,2,1,3,99.00
42.33317355,-71.10683936,Apartment,1,1,1,1,90.00
42.32805296,-71.1076657,Condominium,2,1,1,1,80.00
42.33085068,-71.09655382,Apartment,6,2,3,3,275.00
42.33128716,-71.10049923,Apartment,2,1,1,1,71.00
42.32745887,-71.09931845,Apartment,2,1,1,1,125.00
42.33399285,-71.10449005,Apartment,2,1,0,1,140.00
42.33145771,-71.1090728,Apartment,2,1,1,2,52.00
42.33393473,-71.10313501,Apartment,2,1,1,1,70.00
42.33408108,-71.10377646,Apartment,3,1,1,1,208.00
42.32741025,-71.09931469,Apartment,7,1,2,3,399.00
42.3308382,-71.11115387,Apartment,2,1,1,1,100.00
42.33128999,-71.1026941,Apartment,1,2,1,1,59.00
42.33517884,-71.10149179,Apartment,3,1,1,1,169.00
42.33515914,-71.1003246,Apartment,3,1,1,1,169.00
42.33355814,-71.10942496,Apartment,1,1,1,1,75.00
42.33253221,-71.09814589,Condominium,2,1,1,1,100.00
42.33285413,-71.10115049,Apartment,3,2,1,1,115.00
42.33320209,-71.10146471,Apartment,2,1,1,1,65.00
